,id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
14279,9859181,Ditmars Steinway,Queens,40.7827439039675,-73.91317926476302,8,2.0,3.0,3.0,$88.00,229,101,93.0,9.0,10.0,10.0,9.0,9.0
17911,13047287,Upper East Side,Manhattan,40.774684526090056,-73.95494659046268,4,1.0,1.0,1.0,$149.00,0,12,90.0,9.0,10.0,10.0,10.0,10.0
13535,9513278,SoHo,Manhattan,40.72740706828286,-74.00178103157018,2,1.0,1.0,1.0,$185.00,0,2,100.0,8.0,10.0,10.0,10.0,10.0
20586,14607289,Bushwick,Brooklyn,40.68987255900242,-73.92240522569726,1,1.0,1.0,1.0,$45.00,0,4,100.0,10.0,10.0,10.0,10.0,10.0
37223,25107870,Bedford-Stuyvesant,Brooklyn,40.68177675714353,-73.94924930079627,4,1.0,1.0,1.0,$150.00,31,3,90.0,9.0,10.0,10.0,10.0,10.0
5088,3271052,Cobble Hill,Brooklyn,40.68785106353569,-73.99181168790128,2,1.0,1.0,1.0,$145.00,0,13,100.0,10.0,10.0,10.0,10.0,10.0
46102,30346011,Lower East Side,Manhattan,40.71825740430988,-73.99338008513439,4,1.0,2.0,2.0,$125.00,87,3,100.0,10.0,10.0,9.0,10.0,10.0
12488,8845289,Harlem,Manhattan,40.811468133552886,-73.94710316638987,6,2.0,2.0,3.0,$290.00,32,58,98.0,10.0,10.0,10.0,9.0,10.0
14138,9804299,Williamsburg,Brooklyn,40.717759844691855,-73.96050348749847,2,1.0,1.0,1.0,$70.00,0,1,80.0,8.0,10.0,10.0,8.0,8.0
11689,8192768,Harlem,Manhattan,40.80577304411602,-73.9470805874681,2,1.0,1.0,1.0,$120.00,124,11,98.0,10.0,10.0,10.0,10.0,10.0
16908,12226927,Kensington,Brooklyn,40.6452776551392,-73.97621498392655,2,1.0,2.0,2.0,$105.00,0,7,94.0,9.0,10.0,9.0,10.0,9.0
23896,17042235,Williamsburg,Brooklyn,40.71246711017248,-73.96155465032962,6,1.0,3.0,3.0,$225.00,0,15,92.0,8.0,10.0,10.0,10.0,9.0
39439,26777786,Bedford-Stuyvesant,Brooklyn,40.690117343136045,-73.95249134787237,2,1.0,1.0,1.0,$85.00,12,6,100.0,10.0,10.0,10.0,9.0,10.0
33201,22342382,Ditmars Steinway,Queens,40.77233034770096,-73.9125089015196,2,1.0,1.0,1.0,$35.00,293,25,90.0,10.0,9.0,9.0,9.0,9.0
32494,22084321,Chinatown,Manhattan,40.71346011309178,-73.99140878728035,2,1.0,1.0,1.0,$100.00,0,9,87.0,10.0,10.0,9.0,9.0,9.0
14903,10133534,Lower East Side,Manhattan,40.71780125548573,-73.9850367361827,2,1.0,1.0,1.0,$110.00,0,4,100.0,10.0,9.0,10.0,10.0,10.0
14412,9907257,Lower East Side,Manhattan,40.71758562805245,-73.98419769304954,4,1.0,1.0,2.0,$175.00,0,1,100.0,10.0,10.0,10.0,10.0,10.0
5178,3354605,Woodside,Queens,40.7478142675136,-73.89607491654552,2,1.0,1.0,1.0,$48.00,172,16,97.0,9.0,10.0,10.0,9.0,9.0
31195,21612193,Mott Haven,Bronx,40.81179791494276,-73.92262597056431,2,1.0,1.0,1.0,$54.00,0,9,96.0,9.0,10.0,10.0,9.0,10.0
5749,3802538,Hell's Kitchen,Manhattan,40.75882215163689,-73.99167573673617,1,1.0,1.0,1.0,$99.00,32,139,95.0,9.0,10.0,10.0,10.0,10.0
32112,21948222,Flatbush,Brooklyn,40.64495030098184,-73.95760051748037,4,1.0,2.0,2.0,$95.00,0,2,100.0,10.0,8.0,10.0,10.0,10.0
28978,20498261,East Village,Manhattan,40.72867696719464,-73.98243819516931,4,1.5,2.0,2.0,$530.00,0,7,94.0,9.0,10.0,10.0,10.0,10.0
44594,29781403,Kensington,Brooklyn,40.64261401638115,-73.98349896287635,6,1.5,2.0,2.0,$200.00,333,8,95.0,9.0,10.0,10.0,9.0,10.0
40667,27508843,Hell's Kitchen,Manhattan,40.76335741760897,-73.98818340068843,6,2.0,3.0,3.0,$229.00,264,22,95.0,10.0,10.0,10.0,10.0,10.0
